Time,PmuID,PmuCoordinates,DataSize,GNB_Target,Path,HopSum,Status
0.3333,11,"(1367.5,1687.1)",2.00,GNB_6,"PMU -> GNB_6 (0.0042s, 229.3m) -> TELCO (0.0409s, 707.1m) -> TSO (0.0573s, 1415.6m)",0.1024,OK
0.3333,12,"(34.2,555.1)",2.00,GNB_1,"PMU -> GNB_1 (0.0222s, 469.1m) -> TELCO (0.0387s, 707.1m) -> TSO (0.0703s, 1415.6m)",0.1313,OK
0.3333,13,"(1034.2,751.7)",2.00,GNB_4,"PMU -> GNB_4 (0.0044s, 527.8m) -> TELCO (0.0309s, 500.0m) -> TSO (0.0737s, 1415.6m)",0.1090,OK
0.3333,14,"(367.6,19.5)",2.00,GNB_1,"PMU -> GNB_1 (0.0168s, 498.4m) -> TELCO (0.0388s, 707.1m) -> TSO (0.0724s, 1415.6m)",0.1280,OK
0.3333,15,"(1034.1,1158.6)",2.00,GNB_4,"PMU -> GNB_4 (0.0077s, 492.2m) -> TELCO (0.0312s, 500.0m) -> TSO (0.0677s, 1415.6m)",0.1066,OK
0.3333,16,"(700.7,1226.4)",2.00,GNB_3,"PMU -> GNB_3 (0.0094s, 302.6m) -> TELCO (0.0327s, 500.0m) -> TSO (0.0886s, 1415.6m)",0.1307,OK
0.3333,17,"(1700.7,1023.0)",2.00,GNB_4,"PMU -> GNB_4 (0.0080s, 202.0m) -> TELCO (0.0360s, 500.0m) -> TSO (0.0750s, 1415.6m)",0.1190,OK
0.3333,18,"(1034.1,1490.8)",2.00,GNB_6,"PMU -> GNB_6 (0.0109s, 466.0m) -> TELCO (0.0402s, 707.1m) -> TSO (0.0707s, 1415.6m)",0.1219,OK
0.3333,19,"(33.9,1429.9)",2.00,GNB_5,"PMU -> GNB_5 (0.0052s, 471.3m) -> TELCO (0.0357s, 707.1m) -> TSO (0.0919s, 1415.6m)",0.1329,OK
0.3333,0,"(1367.3,1097.7)",2.00,GNB_4,"PMU -> GNB_4 (0.0114s, 164.8m) -> TELCO (0.0345s, 500.0m) -> TSO (0.0776s, 1415.6m)",0.1235,OK
0.6667,1,"(367.2,901.1)",2.00,GNB_3,"PMU -> GNB_3 (0.0066s, 165.6m) -> TELCO (0.0386s, 500.0m) -> TSO (0.0854s, 1415.6m)",0.1305,OK
0.6667,2,"(700.5,968.9)",2.00,GNB_3,"PMU -> GNB_3 (0.0149s, 202.9m) -> TELCO (0.0376s, 500.0m) -> TSO (0.0849s, 1415.6m)",0.1374,OK
