2025/06/04 16:35:43 - simulation time 0.0000 (s) : === PMU Smart Grid DYNAMIC Collection Simulation Started ===
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Collection Mode: DYNAMIC WINDOWS (starts with first data arrival)
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Collection Window: 0.5 seconds from first PMU data
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Orchestrator: PmuTaskOrchestrator (Dynamic Data Collection)
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Network Model: PmuNetworkModel (Data-based transfers)
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Architecture: PMUs send measurement data → TSO waits for window → Grid analysis
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Edge Devices (PMUs): 30
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Edge Datacenters: 7
2025/06/04 16:35:43 - simulation time 0.0000 (s) : TSO Cloud: TSO
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU:  1 [ 2/30] | Location (  630.0, 1589.0) || Data ID:     92 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_5 (0.0026s, 157.5m) -> TELCO (0.0280s, 707.1m) -> TSO (0.1014s, 1415.6m) | Hop_Sum: 0.1320s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU: 26 [27/30] | Location (  212.0,  699.0) || Data ID:    117 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_1 (0.0053s, 350.1m) -> TELCO (0.0261s, 707.1m) -> TSO (0.1023s, 1415.6m) | Hop_Sum: 0.1337s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU: 23 [24/30] | Location ( 1483.0,  958.0) || Data ID:    114 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_4 (0.0000s, 45.3m) -> TELCO (0.0236s, 500.0m) -> TSO (0.1123s, 1415.6m) | Hop_Sum: 0.1359s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU: 10 [11/30] | Location (  800.0,  384.0) || Data ID:    101 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_1 (0.0101s, 321.6m) -> TELCO (0.0277s, 707.1m) -> TSO (0.0987s, 1415.6m) | Hop_Sum: 0.1365s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU: 14 [15/30] | Location ( 1632.0,  302.0) || Data ID:    105 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_2 (0.0074s, 238.0m) -> TELCO (0.0312s, 707.1m) -> TSO (0.0987s, 1415.6m) | Hop_Sum: 0.1373s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU: 15 [16/30] | Location (   80.0, 1193.0) || Data ID:    106 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_3 (0.0158s, 462.2m) -> TELCO (0.0263s, 500.0m) -> TSO (0.0967s, 1415.6m) | Hop_Sum: 0.1388s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU:  5 [ 6/30] | Location ( 1279.0,  898.0) || Data ID:     96 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_4 (0.0142s, 243.4m) -> TELCO (0.0275s, 500.0m) -> TSO (0.0985s, 1415.6m) | Hop_Sum: 0.1401s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU: 22 [23/30] | Location (  201.0, 1014.0) || Data ID:    113 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_3 (0.0155s, 299.3m) -> TELCO (0.0233s, 500.0m) -> TSO (0.1016s, 1415.6m) | Hop_Sum: 0.1405s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU: 25 [26/30] | Location (  663.0,  984.0) || Data ID:    116 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_3 (0.0072s, 163.8m) -> TELCO (0.0263s, 500.0m) -> TSO (0.1092s, 1415.6m) | Hop_Sum: 0.1427s |
2025/06/04 16:35:43 - simulation time 1.0010 (s) :   1.0000 | PMU: 29 [30/30] | Location ( 1378.0,  167.0) || Data ID:    120 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_2 (0.0158s, 354.6m) -> TELCO (0.0292s, 707.1m) -> TSO (0.0982s, 1415.6m) | Hop_Sum: 0.1432s |
